essential,class,complex,phenotype,chromosome,CELL GROWTH CELL DIVISION AND DNA SYNTHESIS,CELL RESCUE DEFENSE CELL DEATH AND AGEING,CELLULAR BIOGENESIS,CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION,CELLULAR ORGANIZATION,CELLULAR TRANSPORT AND TRANSPORTMECHANISMS,ENERGY,IONIC HOMEOSTASIS,METABOLISM,PROTEIN DESTINATION,PROTEIN SYNTHESIS,TRANSCRIPTION,TRANSPORT FACILITATION,localization,aantal_correlaties,genetic,physical,genetic-physical,gem_correlatie
G240048,Essential,?,?,Cell morphology and organelle mutants,4,False,False,False,False,True,True,False,False,False,False,False,False,False,cytoplasm,1,1,0,0,0.088579707
G238760,Non-Essential,?,?,?,15,False,False,False,False,False,False,False,False,False,False,False,True,False,nucleus,2,0,2,0,0.43196687899999997
G239966,Non-Essential,?,?,?,15,False,False,False,False,True,False,False,False,False,False,False,False,False,cytoplasm,1,0,1,0,0.081344998
G237333,Non-Essential,?,?,?,3,True,False,False,True,True,False,False,False,False,False,False,False,False,plasma membrane,1,1,0,0,0.131054566
G236701,Non-Essential,?,?,?,13,False,False,False,False,False,True,False,False,False,False,False,False,False,nucleus,2,0,2,0,0.59522948
G237803,Non-Essential,?,?,?,13,False,False,False,False,True,True,False,False,False,True,False,False,False,golgi,1,1,0,0,0.484879782
G237833,Non-Essential,?,?,?,5,False,False,False,False,True,True,False,False,False,True,False,False,False,cytoplasm,1,0,1,0,0.027906586
G239789,Non-Essential,?,?,?,7,False,False,False,False,True,False,False,False,True,False,False,False,False,cytoplasm,0,0,0,0,None
G235637,?,?,Translation complexes,?,12,False,False,False,False,True,False,False,False,False,False,True,False,False,cytoplasm,2,0,2,0,0.49402052350000003
G236895,Essential,?,?,Cell morphology and organelle mutants,9,True,False,False,False,True,False,False,False,False,False,False,False,False,nucleus,2,0,2,0,0.294915022
G234400,Non-Essential,ATPases,?,?,6,False,False,False,False,True,False,False,False,False,False,True,False,True,cytoplasm,1,0,1,0,0.426586935
G235624,Essential,?,RNA processing complexes,?,12,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,7,0,7,0,0.2446983257142857
G238035,Non-Essential,?,?,?,4,False,False,False,False,True,False,False,False,False,True,False,False,False,ER,1,1,0,0,0.703242256
G235828,Non-Essential,?,Translocon,?,15,False,False,False,False,True,False,False,False,True,True,False,False,False,ER,0,0,0,0,None
G234178,?,Transcription factors,?,?,3,True,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,1,0,1,0,0.547510468
G240323,Non-Essential,?,?,"Auxotrophies carbon and",13,True,False,True,False,True,False,False,False,False,False,False,False,False,mitochondria,0,0,0,0,None
G235856,Non-Essential,?,Cytoskeleton,Cell morphology and organelle mutants,15,True,False,False,False,True,False,False,False,False,False,False,False,False,cytoskeleton,4,3,1,0,0.46763000175
G235340,Essential,?,SCF (Skp1-Cdc53-F-box protein) complexes,Cell cycle defects,6,True,False,False,False,True,False,False,False,False,False,False,False,False,cytoskeleton,1,1,0,0,0.01650513
G234586,Non-Essential,Transcription factors,?,?,10,False,False,False,False,True,False,False,False,True,False,False,True,False,nucleus,2,0,2,0,0.145157603
G240303,Non-Essential,?,?,Cell cycle defects,11,True,False,True,False,True,False,False,False,False,True,False,False,False,nucleus,3,0,3,0,0.3896095636666667
G235469,Essential,?,Cytoskeleton,Cell morphology and organelle mutants,8,True,False,False,False,True,False,False,False,True,False,False,False,False,cytoskeleton,5,1,3,1,0.6516704555999999
G234533,Essential,Polymerases,Transcription complexes/Transcriptosome,?,9,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,6,0,6,0,0.6003941096666667
G239626,Non-Essential,?,?,"Auxotrophies carbon and",15,False,False,False,False,True,False,False,False,False,False,True,False,False,mitochondria,1,0,1,0,0.021232402
G240017,Non-Essential,?,?,Nucleic acid metabolism defects,4,True,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,1,0,1,0,0.779363565
G239733,Non-Essential,?,?,?,11,True,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,0,0,0,0,None
G235170,Non-Essential,?,Transcription complexes/Transcriptosome,?,2,True,False,False,False,True,False,False,False,True,False,False,True,False,nucleus,1,1,0,0,0.119740468
G234525,Essential,ATPases,Replication complexes,Cell cycle defects,8,True,False,False,False,True,False,False,False,False,False,False,False,False,nucleus,1,0,0,1,0.708165539
G237892,Non-Essential,?,?,Cell morphology and organelle mutants,4,False,False,False,False,True,True,False,False,False,True,False,False,False,peroxisome,3,0,3,0,0.5569168613333333
G234103,Essential,Protein Kinases,?,Nucleic acid metabolism defects,2,True,True,False,True,True,False,False,False,False,False,False,False,False,cytoplasm,13,10,2,1,0.29455040138461536
G239321,Non-Essential,?,?,Conditional phenotypes,5,False,False,False,False,True,False,False,False,False,True,False,False,False,golgi,1,0,1,0,0.38027868
G234100,Essential,Transcription factors,Transcription complexes/Transcriptosome,Stress response defects,2,False,True,False,False,True,False,False,False,False,False,False,True,False,nucleus,1,1,0,0,0.60127309
G238695,Non-Essential,?,?,?,11,False,False,False,False,True,False,False,False,True,False,False,False,False,mitochondria,1,1,0,0,0.11229754
G236045,Non-Essential,?,?,?,14,False,False,False,False,True,False,False,False,True,False,False,False,False,mitochondria,0,0,0,0,None
G234769,Non-Essential,Transcription factors,?,Nucleic acid metabolism defects,13,False,True,False,False,True,False,False,False,False,False,False,True,False,cytoplasm,1,0,1,0,0.027906586
G234735,Essential,GTP-binding proteins,?,Mating and sporulation defects,12,True,False,False,True,True,False,False,False,False,False,False,False,False,plasma membrane,4,0,3,1,0.4687748602499999
G235830,Non-Essential,?,Nuclear pore complex (NPC),Cell cycle defects,15,False,False,False,False,True,True,False,False,False,False,False,False,False,nucleus,9,3,6,0,0.3905355095555556
G235130,Essential,?,Translation complexes,Conditional phenotypes,2,True,False,False,False,True,False,False,False,False,False,True,False,False,cytoplasm,2,0,2,0,0.9662521115
G235489,?,?,Translation complexes,?,9,False,False,False,False,True,False,False,False,False,False,True,False,False,cytoplasm,1,0,1,0,0.864017155
G236068,Non-Essential,?,?,Cell morphology and organelle mutants,12,False,False,False,False,True,True,False,False,False,True,False,False,False,peroxisome,3,0,3,0,0.521339314
G234763,Non-Essential,Protein phosphatases,Calcineurin B,Mating and sporulation defects,12,True,False,False,False,True,False,False,True,False,False,False,True,False,cytoplasm,3,1,2,0,0.17057413666666665
G235586,Essential,?,Intracellular transport complexes,Cell morphology and organelle mutants,11,False,False,False,False,True,True,False,False,False,True,False,False,False,golgi,2,1,1,0,0.574366739
G235922,Non-Essential,?,Mitochondrial translocase complex,"Auxotrophies carbon and",16,False,False,False,False,True,True,False,False,False,False,False,False,False,mitochondria,1,1,0,0,None
G234465,Non-Essential,GTP-binding proteins,?,Cell morphology and organelle mutants,7,True,False,False,False,True,False,False,False,False,False,False,False,False,plasma membrane,2,0,1,1,0.40247698600000004
G234522,Non-Essential,Protein Kinases,Casein kinase,Cell morphology and organelle mutants,8,True,True,False,False,True,True,False,False,False,False,False,False,False,plasma membrane,3,2,1,0,0.13949709833333335
G235247,Essential,?,Transcription complexes/Transcriptosome,?,4,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,13,0,13,0,0.30978872984615385
G239544,Non-Essential,?,?,?,15,False,False,False,False,True,False,False,False,True,False,False,False,False,cytoplasm,1,0,1,0,None
G234368,Essential,Protein phosphatases,Serine/threonine phoshpoprotein phosphatase,"Auxotrophies carbon and",5,True,False,False,False,True,False,True,False,True,False,True,False,False,cytoplasm,5,3,1,1,0.4539197212
G235514,Essential,?,Ribonucleoside-diphosphate reductase,Cell cycle defects,10,True,False,False,False,True,False,False,False,True,False,False,False,False,cytoplasm,1,0,1,0,0.313805394
G234126,Non-Essential,GTP-binding proteins,Translation complexes,?,2,False,False,False,False,True,False,False,False,False,False,True,False,False,cytoplasm,1,0,0,1,0.914095071
G235189,Essential,?,RNA processing complexes,?,4,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,7,1,4,2,0.3796391532857143
G237524,Non-Essential,?,?,Cell morphology and organelle mutants,14,True,False,False,False,True,False,False,False,False,True,False,False,False,cytoskeleton,2,0,2,0,0.35051295
G235348,Non-Essential,?,Respiration chain complexes,Cell morphology and organelle mutants,6,False,False,False,False,True,False,True,False,False,False,False,False,False,mitochondria,1,0,1,0,0.851729394
G234416,Non-Essential,Ubiquitin-system proteins,?,Conditional phenotypes,7,True,True,False,False,True,False,False,False,False,True,False,True,False,nucleus,2,0,2,0,0.266419695
G235480,Non-Essential,?,Proteasome,Sensitivity to aminoacid analogs and other drugs,8,False,False,False,False,True,False,False,False,False,True,False,False,False,nucleus,1,1,0,0,0.167746491
G234197,Essential,Actin related proteins,Cytoskeleton,Cell morphology and organelle mutants,4,True,False,False,False,True,True,False,False,False,False,False,False,False,cytoskeleton,5,4,0,1,0.438408365
G235568,Non-Essential,?,Nuclear pore complex (NPC),?,11,False,False,False,False,True,True,False,False,False,False,False,True,False,nucleus,4,2,2,0,0.819956247
G237228,Essential,?,?,Carbohydrate and lipid biosynthesis defects,4,False,False,False,False,True,True,False,False,False,False,False,False,False,cytoskeleton,3,2,1,0,0.6050570316666667
G234914,Non-Essential,Polymerases,Transcription complexes/Transcriptosome,Mating and sporulation defects,15,True,False,False,False,True,False,False,False,True,False,False,True,False,nucleus,3,3,0,0,0.8424018526666668
G234285,Non-Essential,GTP-binding proteins,Translocon,?,4,False,False,False,False,True,False,False,False,False,True,False,False,False,ER,1,0,1,0,0.293070431
G235881,Essential,?,RNA processing complexes,?,16,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,2,0,2,0,0.3499236995
G235287,Non-Essential,?,Transcription complexes/Transcriptosome,Conditional phenotypes,4,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,12,0,12,0,0.4915194400833333
G235391,?,?,Exocyst complex,?,7,False,False,False,False,True,True,False,False,False,False,False,False,False,cytoplasm,2,1,0,1,0.5042851079999999
G235625,Non-Essential,?,Intracellular transport complexes,Mating and sporulation defects,12,False,False,False,False,True,True,False,False,False,True,False,False,False,vacuole,2,0,2,0,0.096214458
G239986,Essential,?,?,Nucleic acid metabolism defects,13,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,1,1,0,0,0.699865662
G235782,Essential,?,Translation complexes,Sensitivity to antibiotics,14,False,False,False,False,True,False,False,False,False,False,True,False,False,cytoplasm,2,0,2,0,0.8835056109999999
G235201,Non-Essential,?,Translation complexes,?,4,False,False,False,False,True,False,False,False,False,False,True,False,False,cytoplasm,1,0,1,0,0.908702754
G235241,Essential,?,Anaphase promoting complex (APC),Conditional phenotypes,4,True,False,False,False,True,False,False,False,False,True,False,False,False,nucleus,3,0,3,0,0.18695979233333335
G234108,Non-Essential,Other kinases,?,?,2,False,False,False,False,True,False,False,False,True,False,False,True,False,cytoplasm,1,0,1,0,0.739646085
G235803,Non-Essential,?,Replication complexes,Cell cycle defects,15,True,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,2,2,0,0,0.23908632400000002
G238024,Non-Essential,?,?,Conditional phenotypes,4,False,False,False,False,True,True,False,False,False,False,False,False,False,golgi,3,0,3,0,0.339162692
G234141,Essential,Transcription factors,Transcription complexes/Transcriptosome,?,2,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,5,0,5,0,0.37619165379999997
G236496,Non-Essential,?,?,Cell morphology and organelle mutants,7,False,False,False,False,True,False,False,False,True,False,False,False,False,nucleus,1,0,1,0,0.832358145
G235054,Non-Essential,Proteases,"Proteases mitochondrial",Conditional phenotypes,16,False,False,False,False,True,False,False,False,False,True,False,False,False,mitochondria,0,0,0,0,None
G240346,Non-Essential,?,?,Conditional phenotypes,9,False,True,False,False,False,False,False,False,False,False,False,False,False,ER,1,0,1,0,None
G235161,Non-Essential,?,Pyruvate dehydrogenase,?,2,False,False,False,False,True,False,True,False,True,False,False,False,False,mitochondria,0,0,0,0,None
G235693,Essential,?,Cytoskeleton,Cell cycle defects,13,True,False,False,False,True,False,False,False,False,False,False,False,False,cytoskeleton,1,0,1,0,0.573074947
G239247,Non-Essential,?,?,"Auxotrophies carbon and",4,False,False,False,False,True,False,False,False,True,False,False,False,False,cytoplasm,0,0,0,0,None
G234749,Essential,GTP/GDP-exchange factors (GEFs),Translation complexes,?,12,False,False,False,False,True,False,False,False,False,False,True,False,False,cytoplasm,0,0,0,0,None
G234839,Non-Essential,Motorproteins,?,Cell cycle defects,13,True,False,False,False,True,True,False,False,False,False,False,False,False,cytoskeleton,3,2,1,0,0.279551771
G234326,Non-Essential,GTP/GDP-exchange factors (GEFs),?,?,5,False,False,False,False,True,True,False,False,False,False,False,False,False,golgi,1,1,0,0,0.920671097
G235617,Non-Essential,?,Intracellular transport complexes,Cell morphology and organelle mutants,12,False,False,False,False,True,False,False,False,False,True,False,False,False,vacuole,1,0,1,0,0.656939742
G235177,Non-Essential,?,Glucan synthases,Conditional phenotypes,3,True,False,False,False,True,False,False,False,True,False,False,False,False,ER,1,1,0,0,0.872980187
G235606,Non-Essential,?,Intracellular transport complexes,Mating and sporulation defects,12,True,False,False,False,True,True,False,False,True,True,False,False,False,endosome,2,0,2,0,0.4398477345
G235307,Non-Essential,?,Histone acetyltransferase complexes,?,5,False,False,False,False,True,False,False,False,False,True,False,True,False,cytoplasm,1,0,1,0,0.465200442
G239186,Non-Essential,?,?,?,7,False,False,False,True,True,False,False,False,False,False,False,False,False,nucleus,0,0,0,0,None
G234265,Non-Essential,Polymerases,Transcription complexes/Transcriptosome,?,4,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,3,2,0,1,0.5457873413333333
G234687,?,GTP-binding proteins,Translation complexes,?,11,False,False,False,False,True,False,False,False,False,False,True,False,False,cytoplasm,1,1,0,0,0.531135785
G234811,Non-Essential,GTP-binding proteins,Cytoskeleton,Cell cycle defects,13,True,False,False,False,True,False,False,False,False,False,False,False,False,cytoskeleton,3,3,0,0,0.2614364036666667
G234382,Essential,ATPases,?,Cell cycle defects,6,True,False,False,False,True,False,False,False,False,False,False,False,False,nucleus,1,0,1,0,0.7310812
G235530,Non-Essential,?,Intracellular transport complexes,?,10,False,False,True,False,True,True,False,False,False,True,False,False,False,vacuole,4,0,3,1,0.270758567
G235004,Non-Essential,Protein Kinases,Cyclin-CDK (Cyclin-dependent kinases) complexes,"Auxotrophies carbon and",16,True,False,False,False,True,False,False,False,True,False,False,True,False,nucleus,0,0,0,0,None
G237142,Non-Essential,?,?,Cell cycle defects,15,True,False,False,False,True,False,False,False,False,False,False,False,False,cytoskeleton,3,3,0,0,0.44011352833333334
G234677,Non-Essential,GTP-binding proteins,?,Cell morphology and organelle mutants,11,False,False,False,False,True,False,False,False,False,True,False,False,False,golgi,1,1,0,0,0.484879782
G234762,Non-Essential,Transcription factors,?,Conditional phenotypes,12,True,False,False,False,True,False,False,False,False,False,False,False,False,nucleus,0,0,0,0,None
G235664,Non-Essential,?,Intracellular transport complexes,Cell morphology and organelle mutants,12,False,False,True,False,True,True,False,False,False,True,False,False,False,cytoplasm,3,0,3,0,0.3042123713333333
G236506,Essential,?,?,Stress response defects,4,True,False,False,False,True,False,False,True,False,False,False,False,False,cytoplasm,1,1,0,0,0.867237959
G235835,Essential,?,Cytoskeleton,Cell morphology and organelle mutants,15,True,False,False,False,True,False,False,False,False,False,False,False,False,cytoskeleton,8,6,2,0,0.472873831875
G234716,Essential,Unknown,Translation complexes,Cell morphology and organelle mutants,12,True,False,False,False,True,False,False,False,False,True,True,False,False,cytoplasm,1,1,0,0,0.864034186
G238968,Non-Essential,?,?,?,7,False,False,False,False,True,False,False,False,False,False,True,False,False,cytoplasm,1,0,1,0,0.426586935
G235546,Essential,?,Replication complexes,Cell cycle defects,10,True,False,False,False,True,False,False,False,False,False,False,False,False,nucleus,1,0,0,1,0.240089673
G234106,?,Histones,Nucleosomal protein complex,Conditional phenotypes,2,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,2,0,2,0,0.1198831385
G234746,Essential,ATPases,Replication complexes,Cell cycle defects,12,True,False,False,False,True,False,False,False,False,False,False,False,False,nucleus,4,1,2,1,0.48293748025
G234656,Non-Essential,GTP-binding proteins,Translocon,Conditional phenotypes,11,False,False,False,False,True,False,False,False,False,True,False,False,False,ER,1,0,1,0,0.293070431
G235101,Essential,?,Pyruvate kinase,?,1,False,False,False,False,True,False,True,False,True,False,False,False,False,cytoplasm,0,0,0,0,None
G234361,Non-Essential,Transcription factors,?,Cell cycle defects,5,True,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,1,1,0,0,0.0641838
G238567,Non-Essential,?,?,Cell cycle defects,2,True,False,False,False,True,False,False,False,False,False,False,False,False,cytoskeleton,2,0,2,0,0.623835649
G240301,Non-Essential,?,?,Stress response defects,3,False,False,False,False,True,False,False,True,False,False,False,False,False,vacuole,1,1,0,0,0.867237959
G235300,Essential,?,Translocon,?,5,False,False,False,False,True,False,False,False,True,True,False,False,False,ER,2,1,1,0,0.6631154180000001
G235793,Essential,?,Replication complexes,Nucleic acid metabolism defects,14,True,False,False,False,True,False,False,False,False,False,False,False,False,nucleus,3,1,2,0,0.7868508386666667
G238190,Non-Essential,?,?,?,5,True,True,False,True,True,False,False,False,False,False,False,False,False,cytoplasm,1,1,0,0,0.892128037
G238191,Essential,?,?,Unknown,4,True,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,1,1,0,0,0.495625085
G235758,?,?,Translation complexes,?,14,False,False,False,False,True,False,False,False,False,False,True,False,False,cytoplasm,1,0,1,0,0.806216553
G235519,Essential,?,Mitochondrial translocase complex,Mating and sporulation defects,10,False,False,False,False,True,True,False,False,False,True,False,False,True,mitochondria,1,0,0,1,0.391272649
G239523,Non-Essential,?,?,?,14,False,False,False,False,True,True,False,False,False,False,False,False,False,peroxisome,3,0,3,0,0.5239113839999999
G234214,Essential,Polymerases,Transcription complexes/Transcriptosome,?,4,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,2,1,0,1,0.616489013
G235766,Essential,?,?,Cell morphology and organelle mutants,14,True,False,False,False,True,False,False,False,False,False,False,False,False,cytoskeleton,4,1,1,2,0.6456372395000001
G235239,Non-Essential,?,Intracellular transport complexes,Nucleic acid metabolism defects,4,True,False,False,False,True,True,False,False,False,False,False,False,False,golgi,13,0,13,0,0.2715912491538462
G235820,Non-Essential,?,Intracellular transport complexes,Conditional phenotypes,15,False,False,False,False,True,True,False,False,False,True,False,False,False,vacuole,3,0,3,0,0.5311325493333333
G234124,Non-Essential,Transcription factors,?,Nucleic acid metabolism defects,2,True,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,1,1,0,0,0.771810983
G235035,Essential,GTP-binding proteins,Intracellular transport complexes,?,16,False,False,False,False,True,True,False,False,False,False,False,False,False,transport vesicles,2,2,0,0,0.3197347685
G238195,Essential,?,?,?,14,False,False,False,False,True,True,False,False,False,False,False,False,False,cytoplasm,4,3,1,0,0.5851716760000001
G235285,Essential,?,RNA processing complexes,Conditional phenotypes,4,False,False,False,False,True,True,False,False,False,True,False,True,False,nucleus,1,0,1,0,0.695961854
G237105,Non-Essential,?,?,Stress response defects,2,True,False,False,False,False,False,False,False,False,False,False,False,False,golgi,1,1,0,0,0.588783454
G234959,Non-Essential,Protein phosphatases,Serine/threonine phoshpoprotein phosphatase,"Auxotrophies carbon and",15,False,False,False,False,True,False,True,False,True,False,False,False,False,cytoplasm,1,0,0,1,0.605126425
G237038,Non-Essential,?,?,Sensitivity to antibiotics,13,True,False,True,False,True,False,False,False,False,True,False,False,False,golgi,0,0,0,0,None
G238234,Non-Essential,?,?,Conditional phenotypes,14,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,0,0,0,0,None
G235844,Non-Essential,?,Cytoskeleton,Sensitivity to aminoacid analogs and other drugs,15,True,False,False,False,True,False,False,False,False,True,False,False,False,cytoskeleton,2,0,2,0,0.0286896765
G239393,Non-Essential,?,?,?,9,False,False,False,False,True,False,True,False,True,False,False,False,False,peroxisome,1,0,1,0,0.853377001
G235667,Non-Essential,?,Cytoskeleton,Cell morphology and organelle mutants,12,False,False,False,False,True,False,False,False,False,False,False,False,False,cytoskeleton,0,0,0,0,None
G234779,Essential,GTP-binding proteins,Cytoskeleton,Cell morphology and organelle mutants,13,True,False,False,False,True,False,False,False,False,False,False,False,False,cytoskeleton,9,5,2,2,None
G237463,Non-Essential,?,?,Sensitivity to aminoacid analogs and other drugs,3,True,False,False,False,True,True,False,False,False,False,False,False,False,cytoskeleton,3,2,1,0,0.6739722796666667
G235842,Essential,?,RNA processing complexes,?,15,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,0,0,0,0,None
G234684,Non-Essential,Motorproteins,?,Cell cycle defects,11,True,False,False,False,True,True,False,False,False,False,False,False,False,nucleus,3,3,0,0,0.672960425
G235655,Non-Essential,?,Glucan synthases,Sensitivity to aminoacid analogs and other drugs,12,False,False,False,False,True,False,False,False,True,False,False,False,False,plasma membrane,5,4,0,1,0.3793916578
G235559,Essential,?,RNA processing complexes,?,11,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,1,0,1,0,0.550312955
G235653,Non-Essential,?,Cytoskeleton,Conditional phenotypes,12,True,False,False,False,True,True,False,False,False,False,False,False,False,cytoskeleton,1,0,1,0,None
G234849,?,Histones,Nucleosomal protein complex,Conditional phenotypes,14,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,3,1,2,0,0.5585300746666667
G234393,Essential,GTP-binding proteins,?,Mating and sporulation defects,6,False,False,False,False,True,True,False,False,False,False,False,False,False,golgi,6,2,3,1,0.5615686813333333
G236154,Non-Essential,?,?,"Auxotrophies carbon and",11,False,False,True,False,True,True,False,False,False,False,False,False,False,golgi,0,0,0,0,None
G234933,Essential,Molecular chaperones,?,?,15,False,False,False,False,True,False,False,False,False,True,False,False,False,mitochondria,1,0,1,0,0.672788843
G237879,Essential,?,?,?,7,True,False,False,False,True,False,False,False,False,False,False,False,False,nucleus,0,0,0,0,None
G235485,Non-Essential,?,cAMP-dependent protein kinase,Stress response defects,9,True,True,False,False,True,False,False,False,True,False,False,True,False,cytoplasm,2,0,2,0,0.545869278
G234194,Essential,Protein Kinases,Replication complexes,Nucleic acid metabolism defects,4,True,False,False,False,True,False,False,False,False,False,False,False,False,nucleus,4,1,2,1,0.52769875025
G235780,Non-Essential,?,Transcription complexes/Transcriptosome,Conditional phenotypes,14,True,False,False,False,True,False,False,False,True,False,False,True,False,nucleus,9,5,4,0,0.718080346888889
G234222,Non-Essential,ATPases,"H+-transporting ATPase vacuolar",Conditional phenotypes,4,False,False,True,False,True,True,False,True,False,False,False,False,True,vacuole,0,0,0,0,None
G234259,Non-Essential,Transcription factors,?,Cell cycle defects,4,False,False,False,False,True,False,False,False,True,False,False,True,False,nucleus,0,0,0,0,None
G234263,Non-Essential,Transcription factors,?,?,4,True,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,0,0,0,0,None
G235277,Non-Essential,?,Cytoskeleton,Cell morphology and organelle mutants,4,True,False,False,False,True,False,False,False,False,False,False,False,False,cytoskeleton,5,4,1,0,0.42647394439999997
G236626,Non-Essential,?,?,?,3,False,False,False,False,False,False,False,True,False,False,False,True,False,cytoplasm,1,1,0,0,0.824185051
G239123,Essential,?,?,Cell morphology and organelle mutants,7,False,False,False,False,True,False,False,False,False,False,False,False,False,nucleus,1,0,1,0,0.640012496
G235438,Essential,?,Transcription complexes/Transcriptosome,?,7,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,3,0,1,2,0.3968686473333333
G235435,Non-Essential,?,Kel1p/Kel2p complex,?,7,True,False,False,True,True,False,False,False,False,False,False,False,False,cytoplasm,2,1,1,0,0.2543270065
G235240,Essential,?,Sister chromatid cohesion regulation complex,Conditional phenotypes,4,True,False,False,False,True,False,False,False,False,False,False,False,False,nucleus,0,0,0,0,None
G235274,Non-Essential,?,Transcription complexes/Transcriptosome,Nucleic acid metabolism defects,4,True,True,False,False,True,False,False,False,False,False,False,False,False,nucleus,1,0,1,0,0.273375998
G234589,Non-Essential,Major facilitator superfamily proteins (MFS),?,?,10,False,False,False,False,True,True,False,True,False,False,False,False,True,plasma membrane,0,0,0,0,None
G235246,Essential,?,Exocyst complex,Cell morphology and organelle mutants,4,False,False,False,False,True,True,False,False,False,False,False,False,False,cytoplasm,2,2,0,0,0.485764496
G235059,Essential,GTP-binding proteins,Translation complexes,?,16,False,False,False,False,True,False,False,False,False,False,True,False,False,cytoplasm,2,0,2,0,0.8973173295
G234767,Non-Essential,GTP-binding proteins,?,Mating and sporulation defects,12,True,False,False,True,True,False,False,False,False,True,False,False,False,plasma membrane,0,0,0,0,None
G235539,Essential,?,RNA processing complexes,Conditional phenotypes,10,False,False,False,False,True,False,False,False,False,True,False,True,False,nucleus,7,2,3,2,0.3455801188571428
G235579,Non-Essential,?,Translation complexes,?,11,False,False,False,False,True,False,False,False,False,False,True,False,False,mitochondria,2,0,2,0,0.398462896
G235425,Non-Essential,?,Intracellular transport complexes,Conditional phenotypes,7,True,False,False,False,True,True,False,False,False,False,False,False,False,cytoplasm,2,0,2,0,0.8275059060000001
G235358,Non-Essential,?,Transcription complexes/Transcriptosome,?,7,True,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,4,0,4,0,0.35416568574999996
G235564,Non-Essential,?,Intracellular transport complexes,?,11,False,False,False,False,True,True,False,False,False,True,False,False,False,endosome,1,0,1,0,0.879695469
G234271,Essential,Other kinases,?,Cell morphology and organelle mutants,4,True,False,True,True,True,False,False,False,True,False,False,False,False,plasma membrane,1,1,0,0,0.257835916
G236167,Non-Essential,?,?,Nucleic acid metabolism defects,7,True,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,2,1,1,0,0.619639507
G235724,Non-Essential,?,?,Cell cycle defects,13,True,False,False,False,True,True,False,False,False,False,False,False,False,cytoskeleton,1,0,1,0,0.275187519
G235628,Essential,?,Cytoskeleton,Cell cycle defects,12,True,False,True,False,True,False,False,False,False,False,False,True,False,nucleus,0,0,0,0,None
G234248,Non-Essential,Ubiquitin-system proteins,?,?,4,True,True,False,False,True,True,False,False,False,True,False,False,False,cytoplasm,1,1,0,0,0.670313426
G235380,Essential,?,Prenyltransferases,Cell morphology and organelle mutants,7,True,False,False,False,True,False,False,False,True,True,False,False,False,cytoplasm,1,0,1,0,0.312093675
G234206,Essential,Protein Kinases,Cyclin-CDK (Cyclin-dependent kinases) complexes,Nucleic acid metabolism defects,4,True,True,False,False,True,False,False,False,False,False,False,True,False,nucleus,0,0,0,0,None
G239428,Non-Essential,?,?,Conditional phenotypes,15,False,False,False,False,True,True,False,False,False,False,False,True,False,cytoplasm,4,1,3,0,0.6338524517499999
G237845,Essential,?,?,"Auxotrophies carbon and",4,False,False,False,False,True,False,False,False,True,False,False,False,False,mitochondria,1,0,1,0,0.39099143
G235044,Non-Essential,Cyclins,Cyclin-CDK (Cyclin-dependent kinases) complexes,Cell cycle defects,16,True,False,False,False,True,False,False,False,False,False,False,False,False,cytoplasm,3,3,0,0,0.397004925
G236047,Non-Essential,?,?,?,12,False,False,False,False,True,False,False,False,True,False,False,False,False,cytoplasm,1,0,1,0,0.800386108
G239950,Essential,?,?,Conditional phenotypes,14,False,False,False,False,True,False,False,False,False,True,False,True,False,nucleus,0,0,0,0,None
G235648,Non-Essential,?,Cytoskeleton,Conditional phenotypes,12,True,False,False,False,True,False,False,False,False,False,False,False,False,cytoskeleton,3,0,3,0,0.27446877799999997
G234232,Non-Essential,Protein phosphatases,?,?,4,False,False,False,False,True,False,False,False,False,False,False,False,False,cytoplasm,1,1,0,0,0.088350354
