essential,class,complex,phenotype,chromosome,CELL GROWTH CELL DIVISION AND DNA SYNTHESIS,CELL RESCUE DEFENSE CELL DEATH AND AGEING,CELLULAR BIOGENESIS,CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION,CELLULAR ORGANIZATION,CELLULAR TRANSPORT AND TRANSPORTMECHANISMS,ENERGY,IONIC HOMEOSTASIS,METABOLISM,PROTEIN DESTINATION,PROTEIN SYNTHESIS,TRANSCRIPTION,TRANSPORT FACILITATION,localization,aantal_correlaties,genetic,physical,genetic-physical,gem_correlatie
Non-Essential,?,Translocon,Cell morphology and organelle mutants,4,False,False,False,False,False,False,False,False,False,False,False,False,False,?,1,1,0,0,0.71214306
Non-Essential,?,?,Conditional phenotypes,4,False,False,False,False,False,False,False,False,False,False,False,False,False,?,1,1,0,0,0.47159852
Non-Essential,Proteases,"Proteases mitochondrial","Auxotrophies carbon and",2,False,False,False,False,False,False,False,False,False,False,False,False,False,?,2,1,1,0,0.082794655
Non-Essential,?,Translation complexes,Conditional phenotypes,2,False,False,False,False,False,False,False,False,False,False,False,False,False,?,1,1,0,0,0.99547069
?,?,?,?,8,False,False,False,False,False,False,False,False,False,False,False,False,False,?,1,0,1,0,0.30977443
Non-Essential,?,Histone deacetylase complexes,Nucleic acid metabolism defects,14,False,False,False,False,False,False,False,False,False,False,False,False,False,?,1,0,1,0,0.81623176
Non-Essential,?,?,?,12,False,False,False,False,False,False,False,False,False,False,False,False,False,?,1,0,1,0,0.65808152
Essential,?,RNA processing complexes,Conditional phenotypes,?,False,False,False,False,False,False,False,False,False,False,False,False,False,?,5,1,2,2,0.46420642
Essential,Protein Kinases,Casein kinase,Nucleic acid metabolism defects,16,False,False,False,False,False,False,False,False,False,False,False,False,False,?,1,0,1,0,0.53127796
Non-Essential,Protein Kinases,?,?,3,False,False,False,False,False,False,False,False,False,False,False,False,False,?,1,0,1,0,0.73128815
Non-Essential,Molecular chaperones,?,Conditional phenotypes,4,False,False,False,False,False,False,False,False,False,False,False,False,False,?,2,1,0,0,0.73000184
Essential,?,Nuclear pore complex (NPC),Conditional phenotypes,10,False,False,False,False,False,False,False,False,False,False,False,False,False,?,4,3,1,0,0.6784188025
Non-Essential,?,?,?,4,False,False,False,False,False,False,False,False,False,False,False,False,False,?,0,0,0,0,None
Essential,ATPases,Proteasome,?,4,False,False,False,False,False,False,False,False,False,False,False,False,False,?,1,0,1,0,0.25245507
Non-Essential,?,Respiration chain complexes,"Auxotrophies carbon and",4,False,False,False,False,False,False,False,False,False,False,False,False,False,?,1,0,1,0,0.97492093
Essential,Transcription factors,Transcription complexes/Transcriptosome,?,15,False,False,False,False,False,False,False,False,False,False,False,False,False,?,9,0,8,0,0.2478503988888889
Non-Essential,?,Translation complexes,?,11,False,False,False,False,False,False,False,False,False,False,False,False,False,?,1,0,1,0,0.96908197
Essential,?,Translocon,Conditional phenotypes,7,False,False,False,False,False,False,False,False,False,False,False,False,False,?,4,1,1,0,0.8155944024999999
Non-Essential,?,Transcription complexes/Transcriptosome,Nucleic acid metabolism defects,5,False,False,False,False,False,False,False,False,False,False,False,False,False,?,7,1,3,0,0.5916393685714285
Essential,Actins,Cytoskeleton,Cell cycle defects,6,False,False,False,False,False,False,False,False,False,False,False,False,False,?,30,6,18,3,0.41750168933333337
Essential,?,RNA processing complexes,Conditional phenotypes,5,False,False,False,False,False,False,False,False,False,False,False,False,False,?,2,0,2,0,0.30988196
Non-Essential,Adaptins,Intracellular transport complexes,?,11,False,False,False,False,False,False,False,False,False,False,False,False,False,?,4,0,3,0,0.453325645
Essential,?,?,Nucleic acid metabolism defects,4,False,False,False,False,False,False,False,False,False,False,False,False,False,?,1,0,0,1,0.61026664
Non-Essential,?,?,Conditional phenotypes,10,False,False,False,False,False,False,False,False,False,False,False,False,False,?,1,0,1,0,0.6269483
Non-Essential,Transcription factors,Transcription complexes/Transcriptosome,Cell morphology and organelle mutants,10,False,False,False,False,False,False,False,False,False,False,False,False,False,?,9,6,2,0,0.49134772
Non-Essential,Transcription factors,?,Mating and sporulation defects,2,False,False,False,False,False,False,False,False,False,False,False,False,False,?,1,1,0,0,0.5847716
Non-Essential,?,RNA processing complexes,Conditional phenotypes,?,False,False,False,False,False,False,False,False,False,False,False,False,False,?,1,0,0,1,0.76566006
Essential,?,?,Sensitivity to antibiotics,2,False,False,False,False,False,False,False,False,False,False,False,False,False,?,0,0,0,0,None
Essential,?,Anaphase promoting complex (APC),Conditional phenotypes,11,False,False,False,False,False,False,False,False,False,False,False,False,False,?,8,1,5,1,0.22670271375
Essential,Cyclins,Cyclin-CDK (Cyclin-dependent kinases) complexes,?,16,False,False,False,False,False,False,False,False,False,False,False,False,False,?,1,0,1,0,0.21498395
Non-Essential,?,Translation complexes,?,3,False,False,False,False,False,False,False,False,False,False,False,False,False,?,1,1,0,0,0.98490623
Non-Essential,?,Translation complexes,?,10,False,False,False,False,False,False,False,False,False,False,False,False,False,?,1,1,0,0,0.98490623
Non-Essential,?,Transcription complexes/Transcriptosome,Cell cycle defects,13,False,False,False,False,False,False,False,False,False,False,False,False,False,?,5,1,4,0,0.262863928
Non-Essential,Major facilitator superfamily proteins (MFS),Nuclear pore complex (NPC),Conditional phenotypes,2,False,False,False,False,False,False,False,False,False,False,False,False,False,?,4,3,0,0,0.746978215
Non-Essential,Motorproteins,Cytoskeleton,?,13,False,False,False,False,False,False,False,False,False,False,False,False,False,?,1,0,1,0,0.10569174
Non-Essential,?,?,?,4,False,False,False,False,False,False,False,False,False,False,False,False,False,?,1,0,1,0,0.8868096
Non-Essential,Transcription factors,?,Cell morphology and organelle mutants,8,False,False,False,False,False,False,False,False,False,False,False,False,False,?,1,0,0,0,0.40745963
Non-Essential,?,Respiration chain complexes,"Auxotrophies carbon and",?,False,False,False,False,False,False,False,False,False,False,False,False,False,?,1,0,0,0,None
Essential,?,Intracellular transport complexes,Cell morphology and organelle mutants,6,False,False,False,False,False,False,False,False,False,False,False,False,False,?,1,0,0,0,None
Essential,Transcription factors,Transcription complexes/Transcriptosome,?,13,False,False,False,False,False,False,False,False,False,False,False,False,False,?,4,0,4,0,0.47581915
Essential,?,RNA processing complexes,Conditional phenotypes,14,False,False,False,False,False,False,False,False,False,False,False,False,False,?,0,0,0,0,None
Non-Essential,?,Transcription complexes/Transcriptosome,Conditional phenotypes,5,False,False,False,False,False,False,False,False,False,False,False,False,False,?,2,0,2,0,0.53657439
Essential,Ubiquitin-system proteins,?,Cell cycle defects,4,False,False,False,False,False,False,False,False,False,False,False,False,False,?,4,0,4,0,0.37104248500000003
Non-Essential,GTP-binding proteins,?,?,10,False,False,False,False,False,False,False,False,False,False,False,False,False,?,1,0,1,0,0.83021682
Non-Essential,ATPases,?,?,4,False,False,False,False,False,False,False,False,False,False,False,False,False,?,2,0,1,0,0.39589519
Non-Essential,?,Translation complexes,?,15,False,False,False,False,False,False,False,False,False,False,False,False,False,?,2,0,1,0,0.9699775150000001
Essential,?,Proteasome,Mating and sporulation defects,7,False,False,False,False,False,False,False,False,False,False,False,False,False,?,0,0,0,0,None
Essential,?,Anaphase promoting complex (APC),Conditional phenotypes,8,False,False,False,False,False,False,False,False,False,False,False,False,False,?,8,0,6,0,0.39094063375
Essential,Polymerases,Transcription complexes/Transcriptosome,?,?,False,False,False,False,False,False,False,False,False,False,False,False,False,?,1,0,1,0,0.10956856
Non-Essential,?,Intracellular transport complexes,?,8,False,False,False,False,False,False,False,False,False,False,False,False,False,?,1,0,1,0,0.30487201
Ambiguous-Essential,?,RNA processing complexes,Nucleic acid metabolism defects,5,False,False,False,False,False,False,False,False,False,False,False,False,False,?,1,0,1,0,0.48016618
Essential,Proteases,Translocon,?,9,False,False,False,False,False,False,False,False,False,False,False,False,False,?,2,0,0,1,0.68357746
Non-Essential,?,Intracellular transport complexes,Cell morphology and organelle mutants,7,False,False,False,False,False,False,False,False,False,False,False,False,False,?,16,0,15,0,0.34322217875000005
Non-Essential,?,RNA processing complexes,?,11,False,False,False,False,False,False,False,False,False,False,False,False,False,?,5,3,2,0,0.603788954
Non-Essential,?,?,?,3,False,False,False,False,False,False,False,False,False,False,False,False,False,?,1,1,0,0,0.10161237
Non-Essential,GTP-binding proteins,?,?,4,False,False,False,False,False,False,False,False,False,False,False,False,False,?,4,3,0,0,0.6281212975
Non-Essential,Transcription factors,?,?,3,False,False,False,False,False,False,False,False,False,False,False,False,False,?,1,1,0,0,0.12471704
Non-Essential,?,Intracellular transport complexes,Cell morphology and organelle mutants,7,False,False,False,False,False,False,False,False,False,False,False,False,False,?,3,0,2,0,0.8671978466666665
Non-Essential,Major facilitator superfamily proteins (MFS),?,?,2,False,False,False,False,False,False,False,False,False,False,False,False,False,?,3,2,0,0,0.05338366
Non-Essential,ATPases,"H+-transporting ATPase vacuolar",Cell morphology and organelle mutants,15,False,False,False,False,False,False,False,False,False,False,False,False,False,?,2,0,1,0,0.044588115
?,Protein Kinases,Casein kinase,?,5,False,False,False,False,False,False,False,False,False,False,False,False,False,?,1,1,0,0,0.77005762
Non-Essential,Transcription factors,?,?,12,False,False,False,False,False,False,False,False,False,False,False,False,False,?,1,0,1,0,None
Essential,?,Transcription complexes/Transcriptosome,Nucleic acid metabolism defects,?,False,False,False,False,False,False,False,False,False,False,False,False,False,?,3,2,0,1,0.3602660466666667
Non-Essential,?,Translation complexes,?,4,False,False,False,False,False,False,False,False,False,False,False,False,False,?,2,0,1,0,0.8741012699999999
Non-Essential,?,Transcription complexes/Transcriptosome,Nucleic acid metabolism defects,4,False,False,False,False,False,False,False,False,False,False,False,False,False,?,3,0,3,0,0.25395184
Non-Essential,?,?,?,14,False,False,False,False,False,False,False,False,False,False,False,False,False,?,0,0,0,0,None
Essential,?,?,Cell morphology and organelle mutants,?,False,False,False,False,False,False,False,False,False,False,False,False,False,?,0,0,0,0,None
Essential,Molecular chaperones,?,?,12,False,False,False,False,False,False,False,False,False,False,False,False,False,?,1,0,1,0,0.53686434
Essential,?,?,Conditional phenotypes,7,False,False,False,False,False,False,False,False,False,False,False,False,False,?,6,2,3,0,0.333712965
?,?,?,?,7,False,False,False,False,False,False,False,False,False,False,False,False,False,?,1,0,1,0,0.82722864
Non-Essential,Motorproteins,Cytoskeleton,Cell cycle defects,7,False,False,False,False,False,False,False,False,False,False,False,False,False,?,2,2,0,0,0.79239466
Non-Essential,?,?,Mating and sporulation defects,?,False,False,False,False,False,False,False,False,False,False,False,False,False,?,2,0,2,0,0.557736795
Essential,?,?,?,9,False,False,False,False,False,False,False,False,False,False,False,False,False,?,1,0,1,0,0.83493069
Essential,GTP/GDP-exchange factors (GEFs),?,Cell morphology and organelle mutants,7,False,False,False,False,False,False,False,False,False,False,False,False,False,?,3,0,2,1,0.3934283033333334
Essential,Molecular chaperones,?,?,15,False,False,False,False,False,False,False,False,False,False,False,False,False,?,2,0,2,0,0.28594118
Non-Essential,?,?,?,13,False,False,False,False,False,False,False,False,False,False,False,False,False,?,2,0,2,0,0.581780375
Non-Essential,?,?,?,12,False,False,False,False,False,False,False,False,False,False,False,False,False,?,6,0,6,0,0.7003921000000001
Essential,ATPases,Translation complexes,Unknown,12,False,False,False,False,False,False,False,False,False,False,False,False,False,?,2,0,2,0,0.80631493
Non-Essential,?,?,?,12,False,False,False,False,False,False,False,False,False,False,False,False,False,?,2,1,1,0,0.22414326
Non-Essential,Ubiquitin-system proteins,?,?,13,False,False,False,False,False,False,False,False,False,False,False,False,False,?,1,1,0,0,0.86013755
Non-Essential,?,?,Stress response defects,14,False,False,False,False,False,False,False,False,False,False,False,False,False,?,1,0,1,0,0.53024145
Non-Essential,?,?,Mating and sporulation defects,?,False,False,False,False,False,False,False,False,False,False,False,False,False,?,4,0,4,0,0.621462445
Non-Essential,?,?,Conditional phenotypes,2,False,False,False,False,False,False,False,False,False,False,False,False,False,?,1,1,0,0,0.14041999
?,Protein Kinases,?,?,4,False,False,False,False,False,False,False,False,False,False,False,False,False,?,0,0,0,0,None
Essential,?,?,?,12,False,False,False,False,False,False,False,False,False,False,False,False,False,?,8,0,4,1,0.31372496625
Non-Essential,?,Intracellular transport complexes,Cell morphology and organelle mutants,15,False,False,False,False,False,False,False,False,False,False,False,False,False,?,6,1,5,0,0.529651365
Non-Essential,Transcription factors,?,"Auxotrophies carbon and",15,False,False,False,False,False,False,False,False,False,False,False,False,False,?,2,0,0,0,0.334116045
Essential,GTP-binding proteins,Translation complexes,"Auxotrophies carbon and",4,False,False,False,False,False,False,False,False,False,False,False,False,False,?,4,0,4,0,0.6067220475
Non-Essential,ATPases,?,?,2,False,False,False,False,False,False,False,False,False,False,False,False,False,?,1,1,0,0,0.31620963
Non-Essential,?,?,?,15,False,False,False,False,False,False,False,False,False,False,False,False,False,?,0,0,0,0,None
Essential,Molecular chaperones,Mitochondrial translocase complex,Cell morphology and organelle mutants,9,False,False,False,False,False,False,False,False,False,False,False,False,False,?,2,0,2,0,0.37783698499999996
Non-Essential,ATPases,Respiration chain complexes,?,?,False,False,False,False,False,False,False,False,False,False,False,False,False,?,1,0,1,0,None
Non-Essential,?,?,?,16,False,False,False,False,False,False,False,False,False,False,False,False,False,?,7,6,0,0,0.7551477714285714
Non-Essential,?,?,Conditional phenotypes,12,False,False,False,False,False,False,False,False,False,False,False,False,False,?,1,1,0,0,0.14041999
Non-Essential,?,Cytoskeleton,Mating and sporulation defects,4,False,False,False,False,False,False,False,False,False,False,False,False,False,?,3,0,3,0,0.42245584999999997
Essential,ATPases,Replication complexes,Nucleic acid metabolism defects,?,False,False,False,False,False,False,False,False,False,False,False,False,False,?,4,1,2,1,0.6732230175
Essential,?,Transcription complexes/Transcriptosome,?,11,False,False,False,False,False,False,False,False,False,False,False,False,False,?,5,1,3,0,0.4543148779999999
Non-Essential,?,Translation complexes,?,?,False,False,False,False,False,False,False,False,False,False,False,False,False,?,5,4,0,1,0.811892216
Essential,ATPases,"H+-ATPase, plasma mebrane",PS00154,False,False,False,False,False,False,False,False,False,False,False,False,False,?,0,0,0,0,None
Non-Essential,Major facilitator superfamily proteins (MFS),?,?,11,False,False,False,False,False,False,False,False,False,False,False,False,False,?,1,0,0,0,0.0703039
Essential,?,Transcription complexes/Transcriptosome,Nucleic acid metabolism defects,9,False,False,False,False,False,False,False,False,False,False,False,False,False,?,0,0,0,0,None
Non-Essential,Proteases,"Proteases mitochondrial",?,?,False,False,False,False,False,False,False,False,False,False,False,False,False,?,1,1,0,0,None
Essential,ATPases,RNA processing complexes,Conditional phenotypes,?,False,False,False,False,False,False,False,False,False,False,False,False,False,?,1,0,0,0,0.90911935
Essential,?,Intracellular transport complexes,?,16,False,False,False,False,False,False,False,False,False,False,False,False,False,?,4,0,0,1,0.71787981
Non-Essential,?,?,Cell cycle defects,14,False,False,False,False,False,False,False,False,False,False,False,False,False,?,1,0,1,0,0.81405974
